Bank,Theme,Keywords
Commercial Bank of Ethiopia,UI/UX Experience,"easy, nice"
Commercial Bank of Ethiopia,Performance Stability,"bugs, crashes, fast, slow"
Commercial Bank of Ethiopia,Transaction Services,"error, pay, payment, transfer, transferred"
Commercial Bank of Ethiopia,Super App Features,"app, application, appreciate, apps, disappointing, happy, super"
Commercial Bank of Ethiopia,Reliability Concerns,"fails, failure, issue, problem, problems"
Bank of Abyssinia,UI/UX Experience,"easy, nice"
Bank of Abyssinia,Performance Stability,"bug, crashes, crashing, fast, faster, slow"
Bank of Abyssinia,Transaction Services,"error, login, transfer, transferring"
Bank of Abyssinia,Super App Features,"app, application, apps, disappointing"
Bank of Abyssinia,Reliability Concerns,"fails, issue, issues, problem, problems"
Dashen Bank,UI/UX Experience,"clean, design, easy, interface, nice"
Dashen Bank,Performance Stability,"fast, faster, slow"
Dashen Bank,Transaction Services,"balance, login, pay, payment, payments, transfer, transferring, transfers"
Dashen Bank,Super App Features,"app, application, applications, appreciate, apps, disappointing, super, superapp"
